Plate_ID,1,2,3,4,5,6,7,
Cs501,0.4,0.4,0.6,0.9,1.9,3,4.5,
Cs502,0.3,0.4,0.7,1.1,2,3.2,4.7,
Cs503,0.3,0.3,0.5,0.8,1.5,3,4.2,
Cs504,0.4,0.4,0.5,0.7,1.3,2.7,4.1,
Cs505,0.3,0.4,0.7,1.2,2.1,3.5,4.7,
Cs506,0.4,0.5,0.7,1.1,2,3.6,5,
Cs507,0.3,0.4,0.7,1,1.8,3.3,4.8,
Cs508,0.4,0.4,0.8,1.2,2.1,3.6,5,
Cs509,0.3,0.4,0.8,1.4,2.4,3.8,5.7,
Cs510,0.3,0.3,0.5,0.7,1.4,2.9,4.2,
Cs701,0.4,0.6,1.1,1.8,3.6,5.9,7.8,
Cs702,0.3,0.6,1.2,2.1,3.6,5.9,8.2,
Cs703,0.4,0.5,1.1,1.8,3.4,6.2,8.2,
Cs704,0.4,0.5,0.9,1.5,3.1,5.4,7.7,
Cs705,0.4,0.5,1.3,1.9,3.7,6.3,8.5,
Cs706,0.4,0.5,1.2,1.9,3.9,6.3,8.7,
Cs707,0.4,0.6,1.3,2.3,3.7,5.9,7.8,
Cs708,0.4,0.5,1,1.8,3.3,5.8,7.7,
Cs709,0.3,0.5,0.9,1.5,3,5.1,7.9,
Cs710,0.4,0.5,1,1.6,3.2,5.5,8.1,
Ls501,0.4,1.1,2.3,3.6,5,6.8,8.4,
Ls502,0.5,1.2,2.3,3.8,5.7,7.7,8.7,
Ls503,0.4,1.2,2.4,4.1,6.1,7.3,8.4,
Ls504,0.4,1.3,2.5,3.8,5.5,6.7,7.7,
Ls505,0.4,1.4,2.7,3.9,6,7.5,9,
Ls506,0.4,1.3,2.6,4.2,6.3,7.7,8.8,
Ls507,0.5,1.4,3,4.5,6.2,8.3,9.4,
Ls508,0.4,1,2.7,4.4,6.1,7.6,8.8,
Ls509,0.5,1.5,2.7,4.5,6.1,7.3,9.6,
Ls510,0.4,1.6,2.8,4.2,6.4,7.9,9.8,
Ls701,0.5,1.2,2.4,3.9,6.7,9.5,12,
Ls702,0.4,1.2,2.3,4.1,6.8,11.2,13.8,
Ls703,0.4,1.2,2.5,4.2,6.8,11,12.5,
Ls704,0.3,1.3,2.4,4.4,7.3,12.4,14.8,
Ls705,0.5,1.4,2.4,4.2,6.6,9.4,11.7,
Ls706,0.4,1.6,2.6,4.3,7.2,10.3,12.6,
Ls707,0.4,1.2,2.3,4.3,7.5,12.6,15.8,
Ls708,0.4,1.1,2.1,3.9,7.1,10.6,13.6,
Ls709,0.4,1.2,2.7,4.5,7.2,11.1,14.4,
Ls710,0.5,1.3,2.1,4.3,7.6,10.3,13.3,contam
Hs501,0.9,2,3,,4.2,5.3,6.3,
Hs502,1.1,2,2.6,,3.5,4.4,5.4,
Hs503,0.9,1.7,2.5,,3,4.2,5.2,
Hs504,0.7,1.2,1.6,,2.3,3,3.8,
Hs505,1.2,2.7,4.3,,8.3,9.9,13,
Hs506,0.7,1.3,1.8,,2.4,3.1,5,
Hs507,1.3,2.3,3.1,,4,5,6.1,
Hs508,0.9,1.7,2.7,,3.6,4.5,5.5,
Hs509,1.4,2.7,4.2,,6.5,7.3,8,
Hs510,1.5,2.7,4.2,,8.2,10.9,14.8,
Hs701,1.5,5.2,12.4,18.2,,,,
Hs702,1.4,5.5,13.3,17.9,,,,
Hs703,1.2,5.6,12.7,18.1,,,,
Hs704,1.3,4.7,12,16.4,,,,
Hs705,1.2,5,12.4,17.4,,,,
Hs706,1.4,4.7,12.1,17.9,,,,
Hs707,1.3,5.3,12.5,18.7,,,,
Hs708,1.6,5.6,11.3,16.8,,,,
Hs709,,,,,,,,contam
Hs710,1.5,5.4,13.1,18.8,,,,
Ps501,0.5,1.6,4.6,7.8,11.8,13.5,,
Ps502,0.5,1.6,4.2,6.9,10.4,13.8,,
Ps503,0.5,1.5,4.7,8.2,13.2,18.8,,
Ps504,0.5,1.4,4.3,7.5,11.8,16,,
Ps505,0.4,1.5,4.4,8,14,18.4,,
Ps506,0.5,1.6,4.4,7.8,11.1,14.9,,
Ps507,0.4,1.7,5,7.9,11.9,16.5,,
Ps508,0.5,1.5,4.1,7.4,11.6,15.1,,
Ps509,0.4,1.3,2,2.3,,,,dead
Ps510,0.4,1.4,1.9,2.2,,4.9,10.3,revived
Ps701,0.4,1,3.6,5.9,9.3,14.4,,
Ps702,0.4,1.1,3.4,7.3,12.2,15.9,,
Ps703,0.4,1.4,3.6,6.1,9.3,11.8,,
Ps704,0.5,1.3,3.7,6.1,9.6,13.6,,
Ps705,0.5,1.2,3.5,6.3,10.5,13.6,,
Ps706,0.4,1,3.3,6.5,11.6,15.4,,
Ps707,0.5,1.2,3.6,7,12.5,17.9,,
Ps708,0.4,1.2,3.9,7.6,13.7,20.5,,
Ps709,0.4,1.3,3.7,7.4,12.4,16.1,,
Ps710,0.5,1.4,3.9,6.1,9.3,13.3,,
As501,0.3,0.6,1.1,1.6,2.6,3.3,,
As502,0.4,0.6,1.2,2,3.1,4.1,4.8,
As503,0.4,0.6,1.1,1.9,2.7,3.8,4.7,
As504,0.3,0.8,1.9,3,3.9,5.1,6.8,contam
As505,0.4,1,2.1,2.6,,,,dead
As506,0.4,0.7,2,3.1,4.1,4.3,,
As507,0.4,0.7,1.4,2.2,3,4.2,5.2,
As508,0.5,0.9,1.5,2.2,2.8,3.7,4.5,
As509,0.5,1,2,2.9,,,,dead
As510,0.5,1,2.3,3.7,4.7,6.1,8.4,
As701,0.4,1.2,3.1,4.8,6.4,10.2,13.9,
As702,0.4,1.3,3.2,4.7,6.2,10.5,15.1,
As703,0.4,1.2,2.8,4.3,5.3,8.1,10.5,
As704,0.4,1.3,3.1,5,6.4,10.4,14.8,
As705,0.5,1.5,3.6,5.9,7.5,11.8,14.9,
As706,0.4,1.4,3.2,4.6,5.6,6.6,9.9,
As707,0.5,1.5,2.8,3.5,,,,dead
As708,0.4,1.4,3.3,5.2,6.7,10.5,14.1,
As709,0.6,1.6,3.6,5.1,6.3,9.8,12.5,
As710,0.5,1.2,1.6,1.9,,,,dead